time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary
2022-06-11 05:20:55.473697,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.9,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:56.476995,28.1,279.9,23.1,279.9,91,100,0.0,27.09,65.2,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:57.480597,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.7,27.5,3.375,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:58.483458,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.7,27.5,3.375,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:59.486658,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.0,27.5,3.375,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:00.489911,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:01.492812,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:02.495386,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.5,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:03.497756,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.5,27.5,3.377,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:04.500921,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.2,27.5,3.377,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:05.504180,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.2,27.5,3.377,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:06.507646,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.4,27.5,3.378,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:07.510876,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.4,27.5,3.378,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:08.513650,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.8,27.5,3.378,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:09.516887,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.2,27.5,3.378,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:10.520148,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.2,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:11.523931,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.5,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:12.527544,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.6,27.5,3.375,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:13.530902,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.378,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:14.533175,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.378,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:15.535595,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.378,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:16.538181,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.4,27.5,3.375,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:17.541305,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.4,27.5,3.375,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:18.544341,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.3,27.5,3.375,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:21:19.546922,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.0,27.5,3.375,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
