time,ut61e.Cell_Voltage.V
2022-03-09 01:26:33.109654,3.412
2022-03-09 01:26:34.112272,3.412
2022-03-09 01:26:35.114510,3.412
2022-03-09 01:26:36.117501,3.412
2022-03-09 01:26:37.120262,3.412
2022-03-09 01:26:38.122923,3.412
2022-03-09 01:26:39.125488,3.412
2022-03-09 01:26:40.127580,3.412
2022-03-09 01:26:41.129667,3.412
2022-03-09 01:26:42.131832,3.412
2022-03-09 01:26:43.134299,3.412
2022-03-09 01:26:44.136764,3.412
2022-03-09 01:26:45.138993,3.412
2022-03-09 01:26:46.141012,3.412
2022-03-09 01:26:47.143340,3.412
2022-03-09 01:26:48.146098,3.412
2022-03-09 01:26:49.148969,3.412
2022-03-09 01:26:50.151045,3.412
2022-03-09 01:26:51.153195,3.412
2022-03-09 01:26:52.155345,3.412
2022-03-09 01:26:53.157470,3.412
2022-03-09 01:26:54.160169,3.412
2022-03-09 01:26:55.162505,3.412
2022-03-09 01:26:56.164909,3.412
2022-03-09 01:26:57.167512,3.412
2022-03-09 01:26:58.170263,3.412
2022-03-09 01:26:59.172802,3.412
2022-03-09 01:27:00.175156,3.412
2022-03-09 01:27:01.177564,3.412
2022-03-09 01:27:02.180295,3.412
2022-03-09 01:27:03.182737,3.412
2022-03-09 01:27:04.185236,3.412
2022-03-09 01:27:05.187534,3.412
2022-03-09 01:27:06.190048,3.412
2022-03-09 01:27:07.192456,3.412
2022-03-09 01:27:08.194676,3.412
2022-03-09 01:27:09.197024,3.412
2022-03-09 01:27:10.199377,3.412
2022-03-09 01:27:11.201559,3.412
2022-03-09 01:27:12.203974,3.412
2022-03-09 01:27:13.206418,3.412
2022-03-09 01:27:14.209100,3.412
2022-03-09 01:27:15.211420,3.412
2022-03-09 01:27:16.213898,3.412
2022-03-09 01:27:17.216653,3.412
2022-03-09 01:27:18.219156,3.412
2022-03-09 01:27:19.221377,3.412
2022-03-09 01:27:20.223679,3.412
2022-03-09 01:27:21.233931,3.412
2022-03-09 01:27:22.236246,3.4130000000000003
2022-03-09 01:27:23.238796,3.412
2022-03-09 01:27:24.241308,3.412
2022-03-09 01:27:25.243903,3.412
2022-03-09 01:27:26.246419,3.412
2022-03-09 01:27:27.248992,3.412
2022-03-09 01:27:28.251538,3.4130000000000003
2022-03-09 01:27:29.254202,3.412
2022-03-09 01:27:30.256506,3.412
2022-03-09 01:27:31.258824,3.412
2022-03-09 01:27:32.261012,3.412
2022-03-09 01:27:33.263200,3.4130000000000003
2022-03-09 01:27:34.265540,3.4130000000000003
2022-03-09 01:27:35.268046,3.4130000000000003
2022-03-09 01:27:36.270365,3.4130000000000003
2022-03-09 01:27:37.272984,3.412
2022-03-09 01:27:38.275498,3.412
2022-03-09 01:27:39.277999,3.4130000000000003
2022-03-09 01:27:40.280881,3.4130000000000003
2022-03-09 01:27:41.283397,3.4130000000000003
2022-03-09 01:27:42.286013,3.4130000000000003
2022-03-09 01:27:43.288452,3.4130000000000003
2022-03-09 01:27:44.290499,3.4130000000000003
2022-03-09 01:27:45.292842,3.4130000000000003
2022-03-09 01:27:46.295040,3.4130000000000003
2022-03-09 01:27:47.297326,3.4130000000000003
2022-03-09 01:27:48.299607,3.4130000000000003
2022-03-09 01:27:49.301974,3.4130000000000003
2022-03-09 01:27:50.304188,3.4130000000000003
2022-03-09 01:27:51.306615,3.4130000000000003
2022-03-09 01:27:52.308945,3.4130000000000003
2022-03-09 01:27:53.311632,3.4130000000000003
2022-03-09 01:27:54.314374,3.4130000000000003
2022-03-09 01:27:55.316745,3.4130000000000003
2022-03-09 01:27:56.319554,3.4130000000000003
2022-03-09 01:27:57.321813,3.4130000000000003
2022-03-09 01:27:58.324249,3.4130000000000003
2022-03-09 01:27:59.326505,3.4130000000000003
2022-03-09 01:28:00.328671,3.4130000000000003
2022-03-09 01:28:01.330874,3.4130000000000003
2022-03-09 01:28:02.333432,3.4130000000000003
2022-03-09 01:28:03.336313,3.4130000000000003
2022-03-09 01:28:04.338732,3.4130000000000003
2022-03-09 01:28:05.341622,3.4130000000000003
2022-03-09 01:28:06.344320,3.4130000000000003
2022-03-09 01:28:07.351195,3.4130000000000003
2022-03-09 01:28:08.353927,3.4130000000000003
2022-03-09 01:28:09.356756,3.4130000000000003
2022-03-09 01:28:10.359747,3.4130000000000003
2022-03-09 01:28:11.362142,3.4130000000000003
2022-03-09 01:28:12.364240,3.4130000000000003
2022-03-09 01:28:13.366580,3.4130000000000003
2022-03-09 01:28:14.369373,3.4130000000000003
2022-03-09 01:28:15.371825,3.4130000000000003
2022-03-09 01:28:16.374269,3.4130000000000003
2022-03-09 01:28:17.377068,3.4130000000000003
