time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary,ws-can.CVT.V,ws-can.CCT.A,ws-can.CV.V,ws-can.Alternator Temperature.C,ws-can.Alternator Speed.RPM,ws-can.Engine Speed.RPM,ws-can.Field Drive.%
2023-03-06 14:05:39.375941,27.6,279.9,23.1,279.9,92,100,0.0,26.73,40.8,27.0,3.335,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:40.378868,27.6,279.9,23.1,279.9,92,100,0.0,26.74,40.6,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:41.381818,27.6,279.9,23.1,279.9,92,100,0.0,26.74,40.6,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:42.385070,27.6,279.9,23.1,279.9,92,100,0.0,26.74,40.4,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:43.388044,27.6,279.9,23.1,279.9,92,100,0.0,26.74,40.3,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:44.390327,27.6,279.9,23.1,279.9,92,100,0.0,26.74,40.3,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:45.392990,27.6,279.9,23.1,279.9,92,100,0.0,26.74,40.8,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:46.396012,27.6,279.9,23.1,279.9,92,100,0.0,26.74,40.7,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:47.399229,27.6,279.9,23.1,279.9,92,100,0.0,26.74,40.8,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:48.402183,27.6,279.9,23.1,279.9,92,100,0.0,26.74,40.8,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:49.405090,27.6,279.9,23.1,279.9,92,100,0.0,26.74,40.7,27.0,3.336,3.348,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:50.407895,27.6,279.9,23.1,279.9,92,100,0.0,26.75,41.0,27.0,3.338,3.35,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:51.410811,27.6,279.9,23.1,279.9,92,100,0.0,26.75,41.0,27.0,3.338,3.35,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:52.413921,27.6,279.9,23.1,279.9,92,100,0.0,26.75,41.0,27.0,3.338,3.35,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
